Nº doc.cálc.,Cta.contrato,Contrato,Porción,PosDoc,CDoc,MA,FinPerCálc,Válido de,Validez a,CtdCálc,Cantidad cálculo,ContPorTmp,kwh
60200221060,600000175082,218183601,RP_01,000002,ZKWHV,,02/12/2021,02/11/2021,02/12/2021,"3,095",0.30000000000000,31.0000,31.30000000000000
60200221060,600000175082,218183601,RP_01,000003,ZKWHR,,02/12/2021,02/11/2021,02/12/2021,"7,280",0.20000000000000,31.0000,31.20000000000000
60200221060,600000175082,218183601,RP_01,000005,ZFP,,02/12/2021,02/11/2021,02/12/2021,0,0.93200000000000,31.0000,31.93200000000000
56120868204,600000349723,218183701,RP_78,000001,ZKWH,,14/11/2022,15/10/2022,14/11/2022,"9,290",0.00000000000000,31.0000,31.00000000000000
56120868204,600000349723,218183701,RP_78,000002,ZKW,,14/11/2022,15/10/2022,14/11/2022,22,0.11000000000000,31.0000,31.11000000000000
56120868204,600000349723,218183701,RP_78,000003,ZFP,,14/11/2022,15/10/2022,14/11/2022,0,0.92000000000000,31.0000,31.92000000000000
56720704443,600000349723,218183701,RP_78,000001,ZKWH,,14/09/2022,16/08/2022,14/09/2022,"8,868",0.00000000000000,30.0000,30.00000000000000
56720704443,600000349723,218183701,RP_78,000002,ZKW,,14/09/2022,16/08/2022,14/09/2022,21,0.44000000000000,30.0000,30.44000000000000
56720704443,600000349723,218183701,RP_78,000003,ZFP,,14/09/2022,16/08/2022,14/09/2022,0,0.92000000000000,30.0000,30.92000000000000
56360728085,600000175082,218183601,RP_01,000007,ZKW,,01/02/2022,03/01/2022,01/02/2022,0,0.00000000000000,30.0000,30.00000000000000
56360728085,600000175082,218183601,RP_01,000001,ZKWHP,,01/02/2022,03/01/2022,14/01/2022,0,0.00000000000000,12.0000,12.00000000000000
56360728085,600000175082,218183601,RP_01,000002,ZKWHP,,01/02/2022,15/01/2022,01/02/2022,0,0.00000000000000,18.0000,18.00000000000000
56360728085,600000175082,218183601,RP_01,000003,ZKWHV,,01/02/2022,03/01/2022,14/01/2022,0,0.00000000000000,12.0000,12.00000000000000
56360728085,600000175082,218183601,RP_01,000004,ZKWHV,,01/02/2022,15/01/2022,01/02/2022,0,0.00000000000000,18.0000,18.00000000000000
56360728085,600000175082,218183601,RP_01,000005,ZKWHR,,01/02/2022,03/01/2022,14/01/2022,0,0.00000000000000,12.0000,12.00000000000000
56360728085,600000175082,218183601,RP_01,000006,ZKWHR,,01/02/2022,15/01/2022,01/02/2022,0,0.00000000000000,18.0000,18.00000000000000
56360728085,600000175082,218183601,RP_01,000008,ZFP,,01/02/2022,03/01/2022,01/02/2022,0,0.90000000000000,30.0000,30.90000000000000
56420823947,600000206128,218184001,RP_78,000001,ZKWH,,14/11/2022,15/10/2022,14/11/2022,82,0.70000000000000,31.0000,31.70000000000000
56420823947,600000206128,218184001,RP_78,000002,ZKW,,14/11/2022,15/10/2022,14/11/2022,0,0.27300000000000,31.0000,31.27300000000000
56420823947,600000206128,218184001,RP_78,000003,ZFP,,14/11/2022,15/10/2022,14/11/2022,1,0.00000000000000,31.0000,31.00000000000000
56060789761,600000175082,218183601,RP_01,000004,ZKW,,02/03/2022,02/02/2022,02/03/2022,0,0.00000000000000,29.0000,29.00000000000000
56060789761,600000175082,218183601,RP_01,000001,ZKWHP,,02/03/2022,02/02/2022,02/03/2022,"3,385",0.00000000000000,29.0000,29.00000000000000
56060789761,600000175082,218183601,RP_01,000002,ZKWHV,,02/03/2022,02/02/2022,02/03/2022,"3,100",0.80000000000000,29.0000,29.80000000000000
56060789761,600000175082,218183601,RP_01,000003,ZKWHR,,02/03/2022,02/02/2022,02/03/2022,"7,248",0.00000000000000,29.0000,29.00000000000000
56060789761,600000175082,218183601,RP_01,000005,ZFP,,02/03/2022,02/02/2022,02/03/2022,0,0.90000000000000,29.0000,29.90000000000000
56420736336,600000175082,218183601,RP_01,000004,ZKW,,01/04/2022,03/03/2022,01/04/2022,24,0.53800000000000,30.0000,30.53800000000000
56420736336,600000175082,218183601,RP_01,000001,ZKWHP,,01/04/2022,03/03/2022,01/04/2022,"3,385",0.00000000000000,30.0000,30.00000000000000
56420736336,600000175082,218183601,RP_01,000002,ZKWHV,,01/04/2022,03/03/2022,01/04/2022,"3,099",0.20000000000000,30.0000,30.20000000000000
56420736336,600000175082,218183601,RP_01,000003,ZKWHR,,01/04/2022,03/03/2022,01/04/2022,"7,248",0.00000000000000,30.0000,30.00000000000000
56420736336,600000175082,218183601,RP_01,000005,ZFP,,01/04/2022,03/03/2022,01/04/2022,0,0.90000000000000,30.0000,30.90000000000000
62220522887,600000175082,218183601,RP_01,000005,ZKWHR,,02/05/2022,02/04/2022,07/04/2022,"1,449",0.60000000000000,6.0000,6.60000000000000
62220522887,600000175082,218183601,RP_01,000001,ZKWHP,,02/05/2022,02/04/2022,07/04/2022,688,0.50000000000000,6.0000,6.50000000000000
62220522887,600000175082,218183601,RP_01,000002,ZKWHP,,02/05/2022,08/04/2022,02/05/2022,"2,822",0.10000000000000,25.0000,25.10000000000000
62220522887,600000175082,218183601,RP_01,000003,ZKWHV,,02/05/2022,02/04/2022,07/04/2022,619,0.80000000000000,6.0000,6.80000000000000
62220522887,600000175082,218183601,RP_01,000004,ZKWHV,,02/05/2022,08/04/2022,02/05/2022,"3,357",0.90000000000000,25.0000,25.90000000000000
62220522887,600000175082,218183601,RP_01,000006,ZKWHR,,02/05/2022,08/04/2022,02/05/2022,"7,293",0.50000000000000,25.0000,25.50000000000000
62220522887,600000175082,218183601,RP_01,000007,ZKW,,02/05/2022,02/04/2022,02/05/2022,24,0.53800000000000,31.0000,31.53800000000000
62220522887,600000175082,218183601,RP_01,000008,ZFP,,02/05/2022,02/04/2022,02/05/2022,0,0.91800000000000,31.0000,31.91800000000000
56060817053,600000175082,218183601,RP_01,000004,ZKW,,01/06/2022,03/05/2022,01/06/2022,24,0.40700000000000,30.0000,30.40700000000000
